id,sr,index,size,centroid,flux,rolloff,flatness,spread,skewness,kurtosis,crest,rms
6290aa723,48000,1512000,6720,1666.0586,218.12311,2770.5356,0.03415369,1949.1515,7.0636854,58.303673,289.4984,0.07035737
337dc9bf5,48000,1518720,6720,1646.224,291.66568,2808.0356,0.035248563,1985.7358,6.974511,56.9036,290.62778,0.06781089
48e8cecc3,48000,1525440,6720,1556.7858,313.5848,2377.6785,0.029870333,1861.5787,7.573052,66.332634,336.09897,0.0790413
0839fcaf2,48000,1532160,6720,1544.7131,454.72916,2425.8928,0.0317736,1934.6881,7.31195,62.31409,223.20049,0.06088305
12e8b07ee,48000,1538880,6720,1738.7406,227.38501,3181.25,0.03877013,2054.6035,6.691542,53.377018,161.56346,0.041899025
4e01f9c3e,48000,1545600,6720,2052.7031,80.16806,5091.518,0.061907496,2432.2744,5.2847404,35.324947,139.01205,0.029278869
f5529a04b,48000,1552320,6720,2443.3577,14.597875,7395.982,0.09589864,3002.1785,3.9492564,20.000534,82.10264,0.011381145
6bf6b55a1,48000,1559040,6720,2260.0364,32.746635,6562.0537,0.08288469,2786.2239,4.3590536,24.039654,111.64764,0.016548745
60fabf96c,48000,1565760,6720,2137.2231,50.402054,6290.1787,0.076432824,2840.7422,4.576618,25.636065,151.42365,0.019848982
3d1cc3d86,48000,1572480,6720,2091.6067,29.599302,6591.2944,0.08069785,2951.0366,4.4167595,23.582167,133.74173,0.015585301
598119949,48000,1579200,6720,2150.375,12.934066,8227.009,0.093389645,3231.7524,3.866025,18.4778,99.07435,0.010788049
c7ca2ee36,48000,1585920,6720,1686.8895,130.036,5116.0713,0.058675546,2545.121,5.396182,35.572357,222.13522,0.039100964
0105645dc,48000,1592640,6720,1505.5157,220.30675,4281.6963,0.047500674,2434.3066,5.8684793,41.669086,228.63882,0.04402229
545784ab4,48000,1599360,6720,1958.1317,56.119728,9350.223,0.087621436,3415.7644,3.7474856,17.77374,137.98141,0.018709246
2359e6f52,48000,1606080,6720,2092.8218,5.3603897,10831.474,0.1132031,3711.2542,3.4054074,14.728941,77.9314,0.007438658
043d9c915,48000,1612800,6720,2512.4407,1.7823484,14454.912,0.14813298,4235.483,2.7933955,10.215098,49.962296,0.0038206794
2d495e4fc,48000,1619520,6720,2315.8965,4.4188094,14079.018,0.14434017,4221.013,2.905459,10.869061,96.9613,0.0058843237
ab5c7a46a,48000,1626240,6720,2210.8623,3.6531532,14157.143,0.13700372,4225.968,2.932671,10.960571,95.89478,0.005613746
be27bf8ff,48000,1632960,6720,1841.1819,18.446186,10167.857,0.11194914,3731.849,3.442945,15.024569,108.0043,0.008940076
a1cf4bb66,48000,1639680,6720,1907.9397,62.455868,7079.241,0.0842756,3123.5024,4.2998357,22.811323,117.94167,0.0155458655
b3e68d375,48000,1646400,6720,2285.626,9.359233,9274.776,0.10894334,3495.192,3.6320486,16.275488,90.2934,0.00822742
710f88539,48000,1653120,6720,1949.8435,79.15604,5284.152,0.06484227,2610.6685,5.093293,31.724403,175.07945,0.026732435
994e58739,48000,1659840,6720,1666.3806,532.7334,2576.116,0.027983097,1678.0956,7.8338842,74.50587,313.32135,0.09749901
703979975,48000,1666560,6720,1745.0538,297.3645,3662.5,0.044140898,2210.06,6.2654343,48.025764,223.33473,0.051069397
e1797c326,48000,1673280,6720,2221.3967,17.25374,9226.786,0.10174174,3432.0093,3.669247,17.735191,90.90567,0.011530413
e2cf751a0,48000,1680000,6720,2071.0522,25.824785,9230.357,0.10309888,3516.15,3.5880742,16.227768,91.46403,0.00872565
7d9319762,48000,1686720,6720,1263.7355,3939.8945,1987.5,0.021685531,1506.1725,9.589066,121.37616,150.59865,0.1092359
585b3351b,48000,1693440,6720,1710.2651,53.894493,5879.4644,0.06468439,2906.9956,4.8175764,27.641392,112.0487,0.017317982
ab95d3c4a,48000,1700160,6720,2669.6484,5.1044865,14855.804,0.149577,4390.336,2.7658522,10.171817,95.68136,0.0055699097
8ab67a857,48000,1706880,6720,3683.8284,0.5323666,17870.535,0.24342503,5371.378,1.8631579,5.3667073,53.08578,0.0020827085
9d26b5c6c,48000,1713600,6720,1974.5884,539.8107,9426.339,0.10330415,3274.48,4.9546075,41.49737,153.68951,0.035969906
e0ddd2147,48000,1720320,6720,1146.8175,4558.6553,1637.7233,0.017280715,1337.3086,10.54116,145.9471,149.89137,0.12783131
12bccef76,48000,1727040,6720,1600.4404,67.105064,4972.991,0.057646718,2656.7312,5.3283644,34.39704,97.84702,0.020404337
24f6037e6,48000,1733760,6720,2132.776,5.019232,11100.893,0.10866336,3763.8384,3.3577096,13.983585,62.640236,0.0056889704
91eca4f2a,48000,1740480,6720,2201.826,3.6290102,12998.214,0.12675865,4023.4434,3.1463647,12.409838,99.09016,0.0061980123
9991ba8c1,48000,1747200,6720,2185.8928,5.629297,11629.464,0.12622957,3841.015,3.272525,13.64796,72.22953,0.0062184804
c3c0c8c56,48000,1753920,6720,1296.2805,5300.7007,2754.4644,0.029399885,1565.2128,8.77357,105.78712,173.90216,0.13418378
f78a3e29c,48000,1760640,6720,1539.8906,275.6773,3685.491,0.04652037,2146.4648,6.143286,46.913124,113.524414,0.036653332
195d0eb63,48000,1767360,6720,1810.8676,31.271074,6463.616,0.077284195,2929.6091,4.472121,24.355713,96.54137,0.015256318
1af5eea60,48000,1774080,6720,1733.9353,15.575985,6904.4644,0.07903561,3073.3074,4.260898,21.893648,115.20564,0.013129318
591a3e16a,48000,1780800,6720,1235.8453,16883.23,2641.9644,0.026250789,1564.2113,7.908399,83.96289,224.25119,0.2495075
62214ed55,48000,1787520,6720,1113.9132,8792.117,1732.1428,0.011554097,1034.63,10.294396,141.91992,256.5729,0.3028484
8ee9ffe42,48000,1794240,6720,1136.606,20040.912,1868.75,0.012308443,1072.2472,9.27382,116.4349,247.92136,0.37342638
ce33e2f4a,48000,1800960,6720,1114.1652,4203.1396,2050.2231,0.016477564,1238.254,8.991239,107.33471,218.84036,0.19904035
43eee7f03,48000,1807680,6720,1064.0288,1748.6006,1981.4733,0.018814277,1368.1964,8.907222,99.93705,250.34538,0.16512613
