,markov_state,markov_gs,state_gs
centroid_mean,8.804329246444673e-68,0.0010678410747266168,2.202548366249825e-45
centroid_std,0.011754854329636487,3.0418737138332615e-14,5.639314710763146e-24
centroid_skewness,4.0692476688224695e-09,0.9471023154068134,4.089236512055866e-09
flatness_mean,1.4108207040797158e-49,0.20007276171156074,8.588808250700969e-42
flatness_std,0.00020546053519078172,8.715782872897998e-20,1.5167417529606946e-37
flatness_skewness,1.0940342376121006e-72,2.244408767106438e-26,1.3452910857595378e-13
flux_mean,4.9417831906830517e-23,1.4503801781605443e-17,0.16714362159116702
flux_std,1.9257670113584065e-40,3.5298825986101357e-06,3.965870293743185e-18
flux_skewness,4.629337062207365e-13,1.5932573657827004e-19,1.3178667288935822e-59
