,"Markov 
Group","State 
Group","GS 
Group","Baseline Group 
(Fully Randomized)"
median,0.10830059197227276,0.7533580871547467,0.5893092867940128,0.8664769519036306
iqr,0.16479214950994153,0.7501932809228021,0.7377304983310542,0.8614973870124201
