id,sr,index,size,centroid,flux,rolloff,flatness,spread,skewness,kurtosis
509c4dd28,48000,316800,4800,3567.668,1867.5286,12404.375,0.118366115,4254.854,1.8109825,6.33736
fca2c3532,48000,321600,4800,3751.2742,1684.9926,12793.75,0.12283093,4314.8823,1.7254549,5.925682
9904b7ab9,48000,326400,4800,4469.9604,2034.4948,14301.563,0.13754503,4459.991,1.3149221,4.4890404
1a6c4108b,48000,331200,4800,4880.802,1995.5042,14615.938,0.14598952,4558.5083,1.1271728,3.9454699
be4a33aff,48000,336000,4800,5161.9814,1411.9137,15152.813,0.14975105,4669.0337,1.1734236,4.1235285
008cd3e4e,48000,340800,4800,4592.67,1427.0393,15327.187,0.1343711,4694.27,1.5073159,5.0533047
dbe060c25,48000,345600,4800,3704.9841,1385.8954,13301.25,0.11217855,4401.7207,1.9961231,7.0167775
862f98082,48000,350400,4800,3506.7534,1191.5731,14485.0,0.10076141,4524.892,2.1478,7.5168114
8fe7644f7,48000,355200,4800,3394.978,1111.411,14971.25,0.09157699,4508.4243,2.3001368,8.182674
59553053c,48000,360000,4800,3365.9,1157.0852,13911.25,0.09331123,4409.6772,2.314657,8.35033
183f94a02,48000,364800,4800,3207.3813,1191.62,11240.3125,0.09330318,4052.257,2.337079,8.939099
265d3e1a0,48000,369600,4800,3145.583,1348.6827,10559.6875,0.10030265,3845.6763,2.1051824,8.01307
f80ac8e8d,48000,374400,4800,3522.1116,1150.202,10992.5,0.10617755,4026.4167,1.8624265,6.7708573
19de364cc,48000,379200,4800,3623.0774,1194.5477,11608.75,0.11790405,4055.8657,1.6713395,5.8287807
fd2e16528,48000,384000,4800,3884.49,1484.9268,13150.0,0.12435517,4333.1147,1.6019177,5.4479904
1309bdb82,48000,388800,4800,3657.0042,1576.4617,11770.625,0.113895595,4161.649,1.754751,6.1852913
2d12edd39,48000,393600,4800,3475.8489,1333.647,11367.8125,0.108473025,4097.471,1.9998966,7.3331575
36a9195ee,48000,398400,4800,3156.2146,1273.7224,10879.0625,0.0959654,4033.3125,2.2525036,8.538097
f2ea6ec96,48000,403200,4800,3117.4038,1243.9727,10628.4375,0.09708412,4025.0466,2.277172,8.676914
4ff201700,48000,408000,4800,3692.3875,1161.3268,13209.0625,0.11507761,4307.7456,1.8288507,6.3689284
0ee19838b,48000,412800,4800,3687.1555,883.0321,13473.437,0.118729524,4304.7866,1.8193207,6.239941
b42d23175,48000,417600,4800,3455.3298,687.8767,13206.562,0.11147738,4395.3516,1.9895068,6.9470572
91ccfb24a,48000,422400,4800,3294.386,647.0623,13681.25,0.10563654,4420.3135,2.229493,7.9017334
18a9e7a80,48000,427200,4800,3502.125,903.2861,14981.875,0.099707514,4616.514,2.1662269,7.412591
c5c8b9745,48000,432000,4800,4217.6587,741.6764,18351.562,0.11494635,5131.8477,1.7290174,5.394824
c4a58c8e4,48000,436800,4800,3776.1875,686.9519,19664.062,0.09484241,5202.1685,2.0385022,6.370608
d4e48dd87,48000,441600,4800,4013.3242,690.0981,19686.25,0.09387881,5688.7646,1.8923055,5.4431243
df5999e5f,48000,446400,4800,4211.4907,620.14404,19687.5,0.10732138,5877.011,1.7734774,4.891071
fc7e6fd55,48000,451200,4800,3995.6484,605.9602,19680.0,0.09962737,5598.32,1.958448,5.7380495
54eaccdc8,48000,456000,4800,4065.3784,518.29834,19687.5,0.09261225,5910.601,1.8909513,5.2336073
6d4583024,48000,460800,4800,4263.385,413.45102,19687.5,0.10849728,5827.176,1.8056617,5.0255327
254ecb914,48000,465600,4800,4315.3594,462.7273,19687.5,0.10200324,5868.7354,1.7667887,4.9447365
7f2e43d43,48000,470400,4800,3904.4382,441.2153,19682.5,0.09521515,5491.5327,2.0178366,6.014608
bf1d4c3b3,48000,475200,4800,3744.4067,362.50604,19598.75,0.10529982,5316.0693,2.023905,6.20159
0ba3f9d50,48000,480000,4800,3223.5022,284.60367,18051.562,0.09310015,4874.0405,2.3307989,7.830633
eb6c4976a,48000,484800,4800,2820.1963,326.61224,14060.312,0.094128065,4406.271,2.6175742,9.687293
a8efd2bfc,48000,489600,4800,2526.1611,472.16458,10005.625,0.08557577,3826.036,2.9002736,11.99155
ae47dd948,48000,494400,4800,2424.0212,421.15347,9028.75,0.0767399,3577.485,3.002522,13.167101
e10bae301,48000,499200,4800,2624.59,353.73166,9703.75,0.07521018,3898.2966,2.8625069,11.786677
5303245df,48000,504000,4800,2655.352,339.67517,9790.625,0.08224117,3872.2524,2.7712548,11.347051
2b49cc1e7,48000,508800,4800,2761.1655,257.8368,12315.3125,0.091001965,4171.785,2.662343,10.144717
626774a7b,48000,513600,4800,2917.8633,225.45593,14511.562,0.09443499,4442.576,2.5257561,9.119896
599bdbc97,48000,518400,4800,2972.0435,242.86974,12565.625,0.09855628,4223.603,2.5148392,9.468571
f753624cb,48000,523200,4800,2460.2502,238.25674,8626.875,0.07629708,3488.4438,3.0644164,13.845503
a45b7c495,48000,528000,4800,2622.8608,199.8533,8995.9375,0.08246292,3647.18,2.8846955,12.556155
ac076e311,48000,532800,4800,2642.2388,169.28761,8747.8125,0.08768848,3475.585,2.7893698,12.428809
2917f20c8,48000,537600,4800,2428.9126,188.03333,8738.75,0.08350238,3452.703,2.9944224,13.579201
562170eca,48000,542400,4800,2244.567,219.46461,8666.875,0.072087124,3414.1099,3.2320971,14.987249
bfa8b2cab,48000,547200,4800,2422.9978,207.62183,9115.625,0.076917365,3691.4458,3.1421936,13.737503
f8058ad70,48000,552000,4800,2437.0337,197.04922,9200.0,0.074618965,3772.6384,3.099937,13.294612
3b3c5b256,48000,556800,4800,2396.6243,181.8422,9496.25,0.07637128,3903.3167,3.0873325,12.968029
de5079f01,48000,561600,4800,2412.136,173.72214,9833.125,0.07156651,3938.309,3.1046534,12.960025
8c6bfabda,48000,566400,4800,2379.1497,134.8501,8713.4375,0.08133478,3582.1982,3.1897807,14.284684
cc71199b8,48000,571200,4800,2291.6938,168.81508,8118.4375,0.076524876,3404.5745,3.3303423,15.722465
4d217f8a5,48000,576000,4800,2231.242,149.53873,7766.25,0.0762597,3138.572,3.320926,16.231739
7c83a3ad2,48000,580800,4800,2431.3684,132.49106,8674.375,0.085402034,3383.477,3.0849273,14.089422
091695ce7,48000,585600,4800,2398.3416,116.96,8796.875,0.09302943,3431.2888,3.013259,13.380367
182af00f7,48000,590400,4800,2191.766,155.75697,8276.25,0.07613925,3398.8088,3.3773546,15.905561
fd63f2197,48000,595200,4800,2490.021,121.6893,11228.125,0.08570022,4018.6462,3.0566926,12.475142
139609676,48000,600000,4800,2584.6738,139.34526,12569.375,0.076099396,4180.35,3.0366814,12.040482
93dd60933,48000,604800,4800,2767.9246,167.6714,13420.0,0.07384888,4258.8564,2.8881052,11.285906
c9b95baf3,48000,609600,4800,3260.4714,128.55542,18613.75,0.082111984,4691.025,2.5566792,9.02031
0f76fb2b0,48000,614400,4800,3101.5627,127.02375,18964.062,0.07566999,4780.4136,2.5461364,8.852531
939bfa805,48000,619200,4800,3022.148,104.63952,18912.188,0.09005847,4756.274,2.5773432,8.967974
dfc16ae81,48000,624000,4800,2997.8738,111.8547,18936.562,0.08236763,4881.6284,2.5794892,8.832639
d88a13672,48000,628800,4800,2882.6086,124.71108,18019.688,0.08545275,4807.454,2.6597607,9.3230505
