,"Markov 
Group","State-Dependent 
Group","Granular Synthesis 
Group","Baseline Group 
(Fully Randomized)"
median,,0.15488304027827182,0.5146384117249025,0.504154926133679
iqr,,0.2357554334254327,0.7683469650382745,1.0655443964752824
