,H_stat,p_val
centroid_mean,417.7253497294732,1.9592634224185423e-91
centroid_std,235.6657243353484,6.696350443185125e-52
centroid_skewness,,
flatness_mean,367.7743874708629,1.3765958882534883e-80
flatness_std,191.90025805100805,2.1349535291676713e-42
flatness_skewness,,
flux_mean,97.21743667920396,7.753572510644329e-22
flux_std,108.05264200172084,3.4408592803654116e-24
flux_skewness,,
