,"Markov 
Group","State-Dependent 
Group","Granular Synthesis 
Group","Baseline Group 
(Fully Randomized)"
median,0.010016633371039363,0.49199980309037206,0.6771816805048284,0.7414964966696891
iqr,0.013609979581817006,0.4116449668967439,1.012976335992882,0.5656638918600756
