,markov_state,markov_gs,state_gs
centroid_mean,6.6864813183051675e-81,1.851123443229432e-34,9.878666687546654e-12
centroid_std,0.09579819283184048,3.210819319233973e-35,6.46583181563298e-27
centroid_skewness,4.080732818211492e-68,6.155194489884735e-53,0.032045465417070235
flatness_mean,8.848536844151776e-64,3.812622438128844e-36,1.5829266921069483e-05
flatness_std,0.13368970487681378,1.3557816524694051e-38,1.0876715935332068e-30
flatness_skewness,5.0153041207803646e-71,2.7961618765371216e-48,0.0012246659529370138
flux_mean,7.936098575599728e-10,6.248836799644979e-33,7.08751186460811e-09
flux_std,1.1222085332631376e-41,5.5003691080296195e-11,3.6234040253460826e-12
flux_skewness,2.3538335464049928e-32,4.274719018604239e-25,3.504378067481115e-109
