,H_stat,p_val
centroid_mean,375.1054223512234,3.522836362356231e-82
centroid_std,183.3816473304552,1.5107104766905022e-40
centroid_skewness,364.56789316103897,6.840500209498194e-80
flatness_mean,309.366413721046,6.636465138477329e-68
flatness_std,204.82571761966318,3.331658989236855e-45
flatness_skewness,363.14366094469284,1.3942991313016728e-79
flux_mean,145.13327984956337,3.0528728063503214e-32
flux_std,185.1760237748366,6.159384941107603e-41
flux_skewness,495.7960193573536,2.184048718589057e-108
