index,sr,size,centroid,flux,rolloff,flatness,spread,skewness,kurtosis,id
4977600,48000,4800,1699.945,59.007683,9617.8125,0.105836906,3559.8174,3.486001,16.541088,0c8a0cb3a
4982400,48000,4800,1136.5748,518.58435,5859.0625,0.058105476,2590.7937,5.2298503,39.91048,4f7547404
4987200,48000,4800,711.01447,25.495209,2264.0625,0.031936202,2105.8625,6.7960997,54.347713,5ca674fa0
4992000,48000,4800,818.63873,5.9143944,2913.4375,0.04009926,2406.6904,5.9812107,41.44676,5319f2301
4996800,48000,4800,1059.3136,12.611725,5120.3125,0.057088953,2821.9604,4.8703337,28.810091,898303ef3
5001600,48000,4800,1666.5157,37.38024,8577.1875,0.0960578,3340.3108,3.320692,15.206423,978165496
5006400,48000,4800,1381.6403,600.75,7024.0625,0.075027704,2819.7622,4.453476,32.199856,369d60456
5011200,48000,4800,860.8349,107.15989,3781.875,0.034889784,2091.6743,6.1634154,50.991997,d8c79e07b
5016000,48000,4800,925.2024,28.642063,4584.375,0.04050989,2298.8914,5.3828287,36.96624,37d0c065c
5020800,48000,4800,829.0358,102.997185,3810.625,0.038959775,2169.3198,5.8802,44.376766,2326f2845
5025600,48000,4800,1631.4343,230.86343,8180.625,0.0876317,3263.4722,3.4774218,16.520489,4e41c471d
5030400,48000,4800,642.29913,572.2978,2227.1875,0.018667055,1571.7648,8.18136,88.80176,aaf9c8c1d
5035200,48000,4800,690.88666,15.949743,2007.1875,0.025939584,1903.9333,7.3738637,64.4361,8dcbd4c9a
5040000,48000,4800,1104.9922,43.437744,4997.8125,0.050212897,2463.6711,5.0415106,33.787994,ad6fc3aec
5044800,48000,4800,1789.0769,128.02681,8299.0625,0.07279449,3023.9827,3.0746796,14.323003,172ad64ef
5049600,48000,4800,1192.1173,152.4488,6920.625,0.06905176,2909.8225,4.1123595,21.808966,36a045efe
5054400,48000,4800,1241.3341,112.68884,7204.375,0.07910764,3172.9307,4.3215504,23.641315,b6a19535d
5059200,48000,4800,2097.86,2.0006294,13977.1875,0.13889906,4290.1074,2.8334103,10.444794,6b12940fb
5064000,48000,4800,2372.585,1.7049319,15004.063,0.16148931,4477.6973,2.6096501,9.172562,ef986f5b7
5068800,48000,4800,2420.2793,2.9073555,12272.1875,0.15608755,4104.535,2.6034048,9.68935,7ae2fd0a0
5073600,48000,4800,2551.477,2.2709153,14025.313,0.16980433,4361.347,2.4872208,8.794131,feecf7fe1
5078400,48000,4800,2846.0332,1019.7972,11922.813,0.13607047,3681.029,2.6072285,11.57153,aae5b947c
5083200,48000,4800,2098.1038,21.10624,9944.6875,0.124434665,3598.0618,3.0704055,13.312308,efffe3fdb
5088000,48000,4800,2568.613,1.7216606,15701.562,0.17083153,4639.8813,2.4458132,8.248675,a5dbe026c
5092800,48000,4800,2859.4307,2.5401711,13614.687,0.18228267,4374.334,2.2864594,7.9308705,a5c2558ee
5097600,48000,4800,1417.3037,507.31506,7187.5,0.07510484,2896.0662,4.393785,29.243837,f01590469
5102400,48000,4800,829.16675,17.575632,2363.75,0.03355736,2193.9705,6.5270267,50.320118,4323fe844
5107200,48000,4800,899.6722,5.6365986,3023.4375,0.043224577,2478.6882,5.7494354,38.434982,d63bd26b1
5112000,48000,4800,1683.527,44.63946,8549.0625,0.099191196,3387.576,3.4413908,16.878502,4f967154a
5116800,48000,4800,1647.6034,679.08044,6893.125,0.078013696,2742.2988,4.9464536,45.430252,c3dda56d4
5121600,48000,4800,684.8274,101.14674,2161.875,0.02462039,1802.8846,7.79825,74.37102,9b84fba8e
5126400,48000,4800,1026.3287,101.796364,5145.3125,0.046234466,2344.8262,4.8541107,31.101406,dd5d2d957
