id,sr,index,size,centroid,flux,rolloff,flatness,spread,skewness,kurtosis
7ad164f55,48000,17126400,4800,1141.7227,31.898424,4563.125,0.037831593,2301.4788,5.5003786,40.38928
1d82ec927,48000,17131200,4800,1872.525,29.262756,8676.25,0.074047394,3418.2163,3.5060236,18.27583
72f8ddefe,48000,17136000,4800,1564.1246,9.172504,8183.75,0.08081764,3245.3296,3.6876123,17.801786
80e84f5a0,48000,17140800,4800,1579.7128,8.993171,8589.375,0.0870006,3331.8484,3.5202055,15.967297
aa5e8018c,48000,17145600,4800,3496.2283,15.566307,15125.313,0.22031917,4803.8384,1.934874,6.3922257
27597fc62,48000,17150400,4800,4787.494,0.9800218,17782.188,0.30437896,5580.47,1.2670751,3.5951738
bdab2bfd5,48000,17155200,4800,4840.5317,1.1231339,17586.562,0.3007189,5398.462,1.2740744,3.784001
1b26f25a4,48000,17160000,4800,4172.5137,1.942041,17370.938,0.26951018,5349.4873,1.4984043,4.340977
f5393cf59,48000,17164800,4800,4306.521,0.9774482,17604.688,0.28502405,5319.7627,1.5190576,4.4636936
e66a213f2,48000,17169600,4800,5401.851,1.8015969,17828.438,0.28717864,5501.4683,1.2128607,3.7362065
b05c4cd17,48000,17174400,4800,3882.4705,2.3807437,14391.563,0.22120333,4467.079,1.7941628,6.1471252
ce9c3b5d0,48000,17179200,4800,3464.3975,1.3436146,16134.063,0.22139841,4716.801,2.0355597,6.606259
8ba9bdd9d,48000,17184000,4800,3734.1045,0.8195925,17395.625,0.2415919,5033.6665,1.904467,5.8184066
4f97f4ebf,48000,17188800,4800,4495.145,0.7953288,17795.0,0.29968596,5431.8975,1.4415092,4.177356
fb622e4cb,48000,17193600,4800,2092.8105,613.86224,9050.313,0.10005073,3273.1167,3.4520524,20.003807
540883cac,48000,17198400,4800,1260.0919,217.84149,4795.3125,0.043388814,2420.4648,5.8541217,45.830643
9cc9b7ccb,48000,17203200,4800,1636.796,1305.6423,7378.125,0.044998243,2732.954,4.021958,25.933565
d893e8ef4,48000,17208000,4800,831.1119,28.142237,2708.125,0.018842077,1630.8903,7.0235443,65.81636
a12c67942,48000,17212800,4800,2629.2024,350.4048,11240.625,0.11494032,3882.6008,3.3341265,20.427555
3e3bfc447,48000,17217600,4800,2149.8203,729.5392,10238.125,0.10572169,3543.973,3.0392814,15.002034
22aea1d4c,48000,17222400,4800,902.1704,41.313442,3141.25,0.022650449,1769.0746,6.8106318,60.393387
